id;atout;faibless
1;payment;Architect Pizza Virginia
2;cross-platform Accounts Mobility;Practical Granite Computer
3;Iran Stand-alone Awesome Wooden Hat;Checking Account function
4;Republic of Korea Adaptive;deposit evolve
5;transmitting Savings Account architectures;architecture
6;National Netherlands Antilles;next-generation Director
7;Producer software Bypass;Dominican Peso Legacy
8;online compelling;extend open-source
9;Movies platforms;vortals monitor synergistic
10;Botswana Toys portals;Product Fresh
