id;interview_date;created_at;modified_at;result_attributed_at;type;result;is_date_fixed;note
1;2021-03-12T15:47:38;2021-03-13T06:26:04;2021-03-13T01:42:07;2021-03-13T07:27:17;HR_INTERVIEW;POSITIVE;true;invoice
2;2021-03-12T20:02:06;2021-03-12T17:09:24;2021-03-13T01:21:18;2021-03-12T15:37:21;HR_INTERVIEW;NEGATIVE;false;Mobility intuitive Kwanza
3;2021-03-12T15:43:39;2021-03-13T10:33:33;2021-03-13T01:21:05;2021-03-13T07:56:25;HR_INTERVIEW;NEGATIVE;false;Berkshire Sleek Granite Cheese
4;2021-03-12T20:47:26;2021-03-13T03:40:48;2021-03-13T10:49:40;2021-03-13T09:19:11;HR_INTERVIEW;POSITIVE;false;actuating Executive Cambridgeshire
5;2021-03-13T05:12:48;2021-03-12T15:44:55;2021-03-12T19:14:32;2021-03-13T09:06:36;HR_INTERVIEW;PENDING;false;Checking Account
6;2021-03-12T23:12:56;2021-03-13T10:47:28;2021-03-12T21:56:40;2021-03-13T06:55:43;TECHNICAL_INTERVIEW;NEGATIVE;false;integrated generating Ethiopian Birr
7;2021-03-12T14:32:32;2021-03-13T07:43:09;2021-03-13T04:20:48;2021-03-13T05:00:45;TECHNICAL_INTERVIEW;NEGATIVE;true;firmware Afghani
8;2021-03-13T10:01:29;2021-03-12T20:48:46;2021-03-12T15:53:47;2021-03-12T21:00:06;HR_INTERVIEW;PENDING;true;Strategist
9;2021-03-13T03:00:12;2021-03-13T09:25:48;2021-03-12T15:45:43;2021-03-12T18:51:53;TECHNICAL_INTERVIEW;PENDING;false;Coordinator
10;2021-03-13T03:41:20;2021-03-12T16:56:54;2021-03-13T05:48:02;2021-03-13T08:18:28;HR_INTERVIEW;NEGATIVE;false;Movies Street
